Depth 1988-10-21 1988-11-24 1988-12-18 1989-01-27 1989-02-18 1989-03-27 1989-04-16 1989-05-16 1989-06-21 1989-07-19 1989-08-15 1989-10-20 1989-11-28 1989-12-20 1990-01-16 1990-02-15 1990-03-15 1990-04-19 1990-05-09 1990-06-22 1990-07-17 1990-08-14 1990-09-11 1990-10-15 1990-11-06 1990-12-04 1991-01-15 1991-02-14 1991-03-14 1991-04-16 1991-05-14 1991-06-19 1991-07-17 1991-08-13 1991-09-14 1991-10-08 1991-11-13 1991-12-10 1992-01-10 1992-02-14 1992-03-09 1992-04-21 1992-05-19 1992-06-17 1992-07-13 1992-08-20 1992-09-15 1992-10-15 1992-11-13 1992-12-09 1993-01-13 1993-02-12 1993-03-12 1993-04-16 1993-05-10 1993-06-14 1993-07-13 1993-08-18 1993-09-17 1993-10-12 1993-11-09 1993-12-07 1994-01-12 1994-02-19 1994-03-15 1994-04-19 1994-05-17 1994-06-14 1994-07-19 1994-08-16 1994-09-21 1994-10-19 1994-11-14 1994-12-10 1995-01-13 1995-02-15 1995-03-17 1995-04-12 1995-05-12 1995-06-14 1995-07-11 1995-08-18 1995-09-14 1995-10-11 1995-11-12 1995-12-15 1996-01-31 1996-02-15 1996-03-15 1996-04-09 1996-05-06 1996-06-10 1996-07-11 1996-08-05 1996-09-06 1996-10-09 1996-11-05 1996-12-14 1997-01-15 1997-02-08 1997-03-07 1997-04-09 1997-05-08 1997-06-12 1997-07-17 1997-08-13 1997-09-13 1997-10-09 1997-11-13 1997-12-10 1998-01-15 1998-02-13 1998-03-13 1998-04-08 1998-05-07 1998-06-03 1998-07-08 1998-08-12 1998-09-11 1998-10-23 1998-11-18 1998-12-11 1999-01-16 1999-02-12 1999-03-24 1999-04-08 1999-05-05 1999-06-02 1999-07-09 1999-08-04 1999-09-16 1999-10-13 1999-11-10 1999-12-10 2000-02-01 2000-02-18 2000-03-14 2000-04-10 2000-05-10 2000-06-06 2000-07-11 2000-08-08 2000-09-11 2000-10-18 2000-11-14 2000-12-13 2001-01-31 2001-02-21 2001-03-21 2001-04-21 2001-05-18 2001-06-05 2001-07-19 2001-08-07 2001-09-12 2001-10-10 2001-11-10 2001-12-12 2002-02-28 2002-03-20 2002-04-20 2002-05-15 2002-06-06 2002-07-03 2002-08-21 2002-09-18 2002-10-08 2002-11-14 2002-12-11 2003-02-05 2003-02-22 2003-03-22 2003-04-22 2003-05-20 2003-07-05 2003-07-16 2003-08-12 2003-09-20 2003-10-07 2003-11-04 2003-12-03 2004-01-27 2004-02-24 2004-03-22 2004-04-20 2004-05-17 2004-06-15 2004-07-14 2004-08-16 2004-09-15 2004-10-14 2004-11-12 2004-12-09 2005-01-28 2005-02-05 2005-03-22 2005-04-19 2005-05-18 2005-06-14 2005-07-22 2005-08-10 2005-09-06 2005-10-11 2005-11-27 2005-12-11 2006-01-29 2006-02-22 2006-04-06 2006-05-09 2006-06-27 2006-07-19 2006-08-10 2006-09-07 2006-10-10 2006-11-06 2006-12-05 2007-02-01 2007-02-22 2007-03-21 2007-04-15 2007-05-17 2007-06-21 2007-07-21 2007-08-13 2007-09-06 2007-10-05 2007-11-13 2007-12-06 2008-01-15 2008-02-13 2008-03-13 2008-04-15 2008-05-30 2008-06-23 2008-07-17 2008-08-11 2008-09-12 2008-10-08 2008-11-09 2008-12-17 2009-02-09 2009-03-19 2009-04-16 2009-05-17 2009-06-13 2009-08-17 2009-09-11 2009-10-09 2009-11-07 2009-12-09 2010-02-03 2010-02-25 2010-03-24 2010-04-21 2010-05-16 2010-06-22 2010-07-26 2010-08-22 2010-09-05 2010-10-08 2010-11-11 2010-12-10 2011-02-24 2011-03-26 2011-05-04 2011-05-19 2011-06-16 mean
150 26.222 26.187 26.208 26.175 26.161 26.171 26.222 26.313 NA 26.208 26.264 26.144 26.215 26.235 26.054 25.821 NA 26.242 26.307 26.286 26.311 26.171 26.202 26.182 26.202 26.16 26.114 25.967 26.097 26.196 26.341 26.245 26.307 26.283 26.319 26.302 26.307 26.208 26.171 26.248 26.284 26.285 26.327 26.357 26.322 26.163 26.247 26.258 26.184 26.248 26.276 26.17 26.219 26.208 26.305 26.269 26.269 26.204 26.274 26.273 26.311 26.286 26.263 26.043 26.12 26.178 26.229 26.273 26.334 26.323 26.189 26.263 26.287 26.243 26.218 26.216 26.271 26.288 26.357 26.327 26.385 26.296 26.291 26.316 26.227 26.132 26.245 26.29 26.289 26.357 26.385 26.346 26.356 26.35 26.368 26.346 26.375 25.615 26.175 26.234 26.22 26.125 26.199 26.348 26.358 26.2 26.212 26.281 26.229 26.182 26.045 26.071 26.173 26.214 26.207 26.28 26.274 26.272 25.975 26.17 26.145 26.181 26.382 26.11 26.108 26.145 26.155 26.213 26.168 26.188 26.17 26.127 26.143 26.125 26.002 26.078 26.222 26.255 26.248 26.227 26.154 26.202 26.153 26.14 26.249 26.198 26.21 26.262 26.322 26.319 26.07 26.119 26.281 26.32 26.252 26.266 26.308 26.225 26.101 26.03 26.178 26.272 26.297 26.174 26.18 26.072 25.864 26.158 25.995 25.973 26.104 26.243 26.252 26.229 26.298 26.284 26.217 26.217 26.202 26.068 26.196 26.121 26.166 26.097 26.238 26.29 26.283 26.248 26.071 26.315 26.289 26.182 26.125 26.001 26.201 26.261 26.38 26.317 26.277 26.241 26.279 26.307 26.301 26.321 26.29 26.235 26.272 26.366 26.276 26.376 26.352 26.394 26.371 26.33 26.247 26.142 26.061 26.129 26.211 26.315 26.347 26.268 26.395 26.34 26.277 26.219 26.244 26.292 26.162 26.351 26.255 26.252 26.369 26.225 26.323 26.3 26.274 26.256 26.15 25.867 26.02 26.131 26.111 26.027 26.219 26.139 26.189 26.052 25.989 26.105 26.212 26.376 26.405 26.356 26.419 26.431 26.311 26.329 26.313 26.184 26.242 26.168 26.319 26.398 26.463 26.419 26.378 26.226
160 26.263 26.227 26.245 26.219 26.161 26.178 26.238 26.325 NA 26.225 26.281 26.178 26.237 26.262 26.171 25.863 NA 26.258 26.315 26.297 26.319 26.208 26.23 26.213 26.227 26.192 26.166 25.999 26.119 26.196 26.345 26.261 26.321 26.304 26.329 26.318 26.319 26.228 26.206 26.257 26.289 26.296 26.331 26.363 26.337 26.19 26.271 26.265 26.222 26.268 26.317 26.196 26.222 26.225 26.318 26.281 26.293 26.234 26.295 26.291 26.335 26.308 26.292 26.088 26.12 26.195 26.253 26.287 26.34 26.334 26.215 26.283 26.308 26.27 26.254 26.217 26.271 26.296 26.361 26.332 26.387 26.31 26.311 26.33 26.248 26.173 26.248 26.306 26.29 26.364 26.39 26.356 26.369 26.364 26.382 26.358 26.382 25.618 26.219 26.261 26.254 26.126 26.208 26.363 26.37 26.23 26.242 26.286 26.258 26.245 26.084 26.134 26.175 26.221 26.215 26.298 26.289 26.289 26.033 26.204 26.188 26.221 26.407 26.167 26.11 26.147 26.181 26.218 26.194 26.209 26.186 26.155 26.166 26.147 26.046 26.092 26.225 26.265 26.252 26.24 26.195 26.233 26.185 26.164 26.27 26.227 26.248 26.27 26.332 26.328 26.114 26.152 26.302 26.332 26.275 26.285 26.324 26.261 26.104 26.043 26.196 26.282 26.302 26.204 26.207 26.122 25.912 26.197 26.067 26.058 26.109 26.25 26.262 26.242 26.309 26.295 26.24 26.237 26.235 26.123 26.231 26.156 26.174 26.1 26.242 26.3 26.294 26.267 26.106 26.329 26.307 26.209 26.166 26.1 26.207 26.262 26.385 26.332 26.284 26.277 26.295 26.322 26.317 26.333 26.313 26.291 26.329 26.37 26.294 26.385 26.373 26.406 26.386 26.347 26.279 26.213 26.194 26.217 26.238 26.333 26.359 26.283 26.409 26.358 26.311 26.26 26.277 26.33 26.237 26.379 26.296 26.269 26.385 26.252 26.346 26.33 26.304 26.292 26.194 25.964 26.168 26.146 26.127 26.035 26.235 26.162 26.209 26.091 26.047 26.144 26.212 26.376 26.409 26.364 26.423 26.436 26.33 26.345 26.332 26.225 26.273 26.213 26.319 26.406 26.468 26.426 26.39 26.25
170 26.301 26.253 26.279 26.247 26.162 26.184 26.247 26.34 NA 26.246 26.291 26.203 26.257 26.263 26.223 26.019 NA 26.278 26.325 26.307 26.326 26.232 26.257 26.239 26.252 26.218 26.198 26.031 26.153 26.196 26.361 26.28 26.329 26.318 26.342 26.331 26.332 26.259 26.237 26.261 26.293 26.303 26.334 26.37 26.352 26.245 26.302 26.288 26.259 26.285 26.342 26.244 26.228 26.248 26.331 26.294 26.311 26.258 26.311 26.306 26.352 26.326 26.327 26.154 26.12 26.215 26.278 26.306 26.347 26.343 26.238 26.299 26.325 26.292 26.283 26.217 26.271 26.303 26.364 26.336 26.388 26.32 26.327 26.338 26.274 26.209 26.249 26.324 26.292 26.368 26.394 26.369 26.377 26.374 26.392 26.369 26.389 25.732 26.25 26.292 26.299 26.126 26.218 26.375 26.382 26.252 26.267 26.29 26.284 26.28 26.131 26.167 26.177 26.229 26.229 26.315 26.301 26.306 26.076 26.222 26.213 26.259 26.425 26.204 26.112 26.154 26.205 26.227 26.218 26.231 26.2 26.172 26.188 26.165 26.076 26.108 26.227 26.278 26.255 26.251 26.222 26.255 26.208 26.187 26.286 26.249 26.266 26.279 26.339 26.336 26.144 26.186 26.317 26.346 26.293 26.305 26.339 26.287 26.124 26.065 26.215 26.29 26.319 26.229 26.226 26.163 25.963 26.222 26.123 26.123 26.123 26.255 26.273 26.255 26.317 26.304 26.255 26.247 26.259 26.16 26.256 26.174 26.189 26.107 26.245 26.306 26.306 26.282 26.141 26.341 26.322 26.234 26.197 26.193 26.217 26.264 26.39 26.341 26.29 26.288 26.311 26.334 26.328 26.347 26.329 26.312 26.356 26.375 26.308 26.392 26.389 26.413 26.397 26.364 26.309 26.252 26.279 26.259 26.315 26.353 26.37 26.296 26.42 26.373 26.343 26.294 26.31 26.355 26.273 26.397 26.337 26.281 26.395 26.285 26.365 26.352 26.323 26.317 26.227 26.024 26.219 26.159 26.134 26.041 26.247 26.181 26.226 26.13 26.089 26.174 26.212 26.377 26.411 26.372 26.43 26.443 26.347 26.359 26.353 26.262 26.302 26.261 26.319 26.411 26.472 26.434 26.4 26.27
180 26.319 26.274 26.306 26.271 26.166 26.191 26.261 26.354 NA 26.264 26.306 26.225 26.274 26.28 26.236 26.133 NA 26.287 26.334 26.314 26.333 26.253 26.277 26.258 26.268 26.241 26.221 26.078 26.177 26.199 26.371 26.296 26.341 26.329 26.349 26.345 26.342 26.28 26.263 26.265 26.3 26.312 26.337 26.378 26.361 26.265 26.315 26.311 26.288 26.305 26.361 26.281 26.235 26.272 26.342 26.308 26.328 26.28 26.325 26.32 26.367 26.341 26.343 26.229 26.12 26.231 26.3 26.318 26.354 26.352 26.26 26.312 26.338 26.311 26.311 26.218 26.271 26.313 26.367 26.341 26.389 26.337 26.342 26.346 26.302 26.238 26.25 26.34 26.295 26.371 26.399 26.379 26.386 26.382 26.398 26.378 26.393 25.874 26.302 26.33 26.328 26.127 26.226 26.386 26.397 26.275 26.286 26.295 26.31 26.306 26.16 26.181 26.179 26.24 26.241 26.33 26.31 26.322 26.116 26.243 26.249 26.287 26.433 26.236 26.121 26.166 26.231 26.235 26.237 26.256 26.21 26.184 26.199 26.177 26.106 26.12 26.231 26.287 26.259 26.262 26.244 26.271 26.225 26.208 26.297 26.264 26.282 26.285 26.35 26.342 26.166 26.211 26.326 26.357 26.309 26.32 26.351 26.31 26.147 26.089 26.228 26.299 26.339 26.255 26.248 26.196 26.017 26.246 26.175 26.185 26.134 26.259 26.281 26.265 26.326 26.314 26.269 26.259 26.275 26.19 26.275 26.192 26.216 26.117 26.252 26.313 26.313 26.299 26.173 26.351 26.336 26.251 26.221 26.236 26.224 26.264 26.393 26.351 26.296 26.301 26.328 26.347 26.34 26.358 26.345 26.329 26.373 26.378 26.324 26.399 26.402 26.419 26.406 26.379 26.333 26.288 26.309 26.332 26.356 26.373 26.378 26.306 26.428 26.385 26.369 26.32 26.338 26.378 26.314 26.411 26.364 26.291 26.402 26.33 26.381 26.373 26.342 26.342 26.26 26.091 26.26 26.193 26.145 26.052 26.262 26.202 26.246 26.154 26.121 26.197 26.213 26.377 26.415 26.379 26.436 26.449 26.361 26.371 26.368 26.294 26.324 26.292 26.32 26.417 26.475 26.439 26.41 26.288
190 26.33 26.293 26.329 26.282 26.172 26.196 26.276 26.365 NA 26.284 26.317 26.241 26.29 26.297 26.249 26.171 NA 26.294 26.344 26.32 26.339 26.277 26.294 26.276 26.282 26.264 26.248 26.132 26.196 26.2 26.378 26.309 26.35 26.339 26.358 26.357 26.352 26.296 26.285 26.271 26.305 26.317 26.339 26.384 26.373 26.281 26.326 26.328 26.311 26.324 26.376 26.305 26.246 26.295 26.352 26.316 26.34 26.301 26.335 26.331 26.38 26.355 26.362 26.268 26.12 26.249 26.318 26.328 26.36 26.36 26.278 26.325 26.349 26.325 26.324 26.228 26.272 26.325 26.37 26.346 26.39 26.35 26.353 26.353 26.321 26.265 26.25 26.348 26.297 26.375 26.403 26.387 26.393 26.389 26.405 26.388 26.398 26.057 26.324 26.355 26.342 26.16 26.24 26.394 26.408 26.299 26.304 26.299 26.334 26.319 26.197 26.202 26.188 26.254 26.256 26.345 26.32 26.338 26.144 26.259 26.273 26.313 26.443 26.266 26.15 26.186 26.261 26.241 26.265 26.285 26.223 26.199 26.213 26.192 26.153 26.133 26.235 26.296 26.263 26.271 26.261 26.281 26.239 26.225 26.31 26.276 26.307 26.292 26.357 26.346 26.19 26.232 26.335 26.366 26.321 26.33 26.361 26.328 26.151 26.118 26.239 26.307 26.345 26.274 26.265 26.216 26.07 26.264 26.209 26.212 26.155 26.266 26.288 26.273 26.336 26.322 26.282 26.272 26.29 26.21 26.292 26.216 26.238 26.123 26.258 26.321 26.32 26.316 26.198 26.362 26.351 26.27 26.241 26.259 26.232 26.265 26.396 26.356 26.304 26.313 26.34 26.356 26.353 26.368 26.358 26.342 26.386 26.381 26.342 26.406 26.414 26.425 26.414 26.393 26.353 26.312 26.331 26.364 26.383 26.389 26.385 26.32 26.435 26.397 26.387 26.344 26.358 26.398 26.346 26.425 26.386 26.303 26.406 26.366 26.396 26.387 26.357 26.361 26.287 26.141 26.295 26.226 26.168 26.063 26.278 26.218 26.276 26.176 26.149 26.217 26.215 26.378 26.418 26.389 26.439 26.455 26.374 26.382 26.387 26.322 26.341 26.318 26.321 26.421 26.476 26.447 26.416 26.303
200 26.342 26.319 26.345 26.304 26.184 26.202 26.302 26.371 NA 26.301 26.327 26.247 26.308 26.317 26.267 26.214 NA 26.3 26.354 26.323 26.347 26.298 26.306 26.284 26.3 26.288 26.246 26.119 26.239 26.203 26.381 26.32 26.359 26.349 26.367 26.366 26.362 26.324 26.3 26.276 26.312 26.328 26.341 26.388 26.381 26.282 26.341 26.34 26.326 26.34 26.39 26.321 26.259 26.317 26.356 26.329 26.348 26.329 26.344 26.344 26.398 26.366 26.377 26.297 26.124 26.267 26.337 26.333 26.364 26.366 26.301 26.337 26.359 26.34 26.336 26.224 26.269 26.314 26.374 26.35 26.39 26.363 26.363 26.358 26.347 26.292 26.253 26.347 26.306 26.384 26.407 26.39 26.403 26.395 26.412 26.391 26.4 26.131 26.343 26.371 26.363 26.213 26.263 26.404 26.406 26.317 26.323 26.303 26.356 26.343 26.295 26.23 26.267 26.271 26.293 26.371 26.348 26.344 26.184 26.267 26.309 26.337 26.451 26.276 26.196 26.191 26.306 26.258 26.299 26.292 26.236 26.209 26.217 26.205 26.18 26.167 26.243 26.33 26.262 26.286 26.276 26.291 26.253 26.241 26.315 26.293 26.292 26.309 26.358 26.342 26.297 26.23 26.331 26.375 26.335 26.336 26.365 26.342 26.261 26.277 26.242 26.331 26.347 26.292 26.224 26.234 26.195 26.262 26.237 26.237 26.183 26.274 26.296 26.273 26.341 26.332 26.294 26.293 26.299 26.23 26.329 26.271 26.262 26.131 26.262 26.327 26.327 26.333 26.218 26.363 26.362 26.285 26.266 26.283 26.273 26.286 26.372 26.36 26.325 26.35 26.362 26.368 26.361 26.38 26.372 26.35 26.401 26.383 26.348 26.413 26.424 26.429 26.421 26.401 26.37 26.33 26.354 26.39 26.378 26.399 26.396 26.338 26.443 26.411 26.405 26.365 26.381 26.411 26.358 26.429 26.398 26.313 26.411 26.417 26.399 26.398 26.397 26.367 26.314 26.211 26.322 26.26 26.175 26.068 26.31 26.228 26.311 26.199 26.173 26.24 26.238 26.383 26.421 26.4 26.45 26.456 26.386 26.391 26.403 26.361 26.363 26.35 26.328 26.425 26.471 26.455 26.426 26.32
210 26.354 26.346 26.36 26.32 26.197 26.209 26.323 26.371 NA 26.322 26.338 26.249 26.322 26.337 26.284 26.236 NA 26.306 26.363 26.327 26.352 26.316 26.322 26.296 26.319 26.309 26.262 26.05 26.26 26.206 26.388 26.328 26.37 26.358 26.375 26.372 26.373 26.337 26.318 26.279 26.319 26.333 26.343 26.394 26.386 26.295 26.354 26.351 26.344 26.35 26.412 26.335 26.278 26.337 26.37 26.338 26.355 26.35 26.351 26.359 26.415 26.377 26.392 26.319 26.131 26.286 26.35 26.34 26.369 26.37 26.319 26.345 26.37 26.354 26.348 26.245 26.269 26.312 26.376 26.353 26.391 26.37 26.37 26.365 26.366 26.325 26.285 26.348 26.325 26.391 26.413 26.393 26.42 26.402 26.417 26.395 26.403 26.196 26.366 26.385 26.379 26.255 26.278 26.41 26.405 26.329 26.339 26.314 26.37 26.358 26.37 26.274 26.309 26.262 26.348 26.393 26.376 26.343 26.215 26.284 26.33 26.377 26.46 26.293 26.271 26.201 26.359 26.274 26.336 26.292 26.25 26.22 26.22 26.219 26.198 26.2 26.252 26.369 26.264 26.297 26.291 26.299 26.262 26.254 26.32 26.31 26.298 26.324 26.359 26.337 26.327 26.234 26.335 26.387 26.345 26.342 26.364 26.355 26.301 26.331 26.249 26.35 26.351 26.307 26.23 26.246 26.26 26.26 26.262 26.259 26.21 26.281 26.304 26.277 26.347 26.348 26.306 26.313 26.307 26.249 26.383 26.296 26.296 26.136 26.268 26.335 26.335 26.344 26.236 26.36 26.373 26.301 26.283 26.306 26.323 26.308 26.36 26.366 26.336 26.366 26.377 26.374 26.37 26.386 26.382 26.359 26.413 26.387 26.356 26.419 26.433 26.434 26.426 26.408 26.384 26.347 26.379 26.405 26.395 26.405 26.406 26.352 26.453 26.422 26.417 26.384 26.406 26.416 26.373 26.434 26.41 26.338 26.416 26.45 26.404 26.409 26.412 26.375 26.338 26.282 26.335 26.296 26.199 26.071 26.341 26.234 26.329 26.227 26.189 26.262 26.277 26.388 26.422 26.415 26.459 26.459 26.397 26.4 26.415 26.392 26.385 26.372 26.334 26.43 26.468 26.463 26.435 26.334
220 26.367 26.359 26.376 26.332 26.203 26.22 26.338 26.384 NA 26.331 26.348 26.259 26.331 26.349 26.303 26.266 NA 26.312 26.371 26.331 26.357 26.327 26.335 26.308 26.328 26.325 26.276 26.072 26.287 26.212 26.398 26.332 26.377 26.365 26.381 26.379 26.381 26.349 26.334 26.289 26.327 26.338 26.344 26.4 26.395 26.309 26.362 26.36 26.355 26.36 26.417 26.348 26.297 26.352 26.375 26.343 26.364 26.359 26.358 26.364 26.424 26.386 26.4 26.335 26.131 26.302 26.359 26.348 26.375 26.377 26.332 26.354 26.376 26.362 26.356 26.269 26.273 26.322 26.378 26.358 26.391 26.376 26.375 26.368 26.369 26.339 26.337 26.358 26.34 26.397 26.417 26.397 26.423 26.407 26.421 26.401 26.407 26.235 26.38 26.396 26.388 26.305 26.292 26.414 26.412 26.345 26.349 26.326 26.384 26.367 26.384 26.321 26.325 26.281 26.37 26.404 26.387 26.357 26.242 26.303 26.348 26.391 26.462 26.315 26.308 26.223 26.373 26.281 26.362 26.308 26.261 26.232 26.23 26.23 26.21 26.211 26.253 26.372 26.269 26.303 26.297 26.305 26.271 26.263 26.327 26.318 26.307 26.33 26.363 26.34 26.336 26.255 26.342 26.397 26.356 26.351 26.375 26.367 26.306 26.344 26.262 26.362 26.364 26.319 26.248 26.257 26.27 26.276 26.274 26.272 26.232 26.295 26.312 26.288 26.358 26.364 26.313 26.32 26.318 26.261 26.393 26.311 26.315 26.139 26.275 26.342 26.341 26.352 26.254 26.37 26.383 26.314 26.297 26.316 26.338 26.316 26.367 26.375 26.344 26.377 26.386 26.382 26.378 26.395 26.39 26.373 26.422 26.393 26.367 26.423 26.441 26.439 26.43 26.414 26.397 26.365 26.392 26.413 26.408 26.414 26.411 26.363 26.458 26.43 26.428 26.397 26.418 26.426 26.388 26.442 26.42 26.362 26.422 26.484 26.412 26.411 26.419 26.388 26.356 26.306 26.352 26.328 26.23 26.083 26.354 26.244 26.344 26.242 26.202 26.279 26.311 26.389 26.426 26.423 26.463 26.465 26.406 26.406 26.424 26.405 26.398 26.389 26.339 26.435 26.471 26.468 26.442 26.345
230 26.375 26.366 26.386 26.342 26.209 26.231 26.352 26.39 NA 26.339 26.354 26.269 26.343 26.357 26.318 26.292 NA 26.318 26.377 26.338 26.361 26.336 26.346 26.321 26.333 26.334 26.289 26.202 26.312 26.217 26.406 26.339 26.384 26.37 26.387 26.384 26.388 26.358 26.344 26.323 26.335 26.343 26.346 26.406 26.402 26.326 26.372 26.367 26.365 26.369 26.423 26.361 26.311 26.366 26.379 26.347 26.372 26.368 26.364 26.368 26.432 26.397 26.41 26.348 26.131 26.321 26.367 26.354 26.382 26.383 26.341 26.363 26.384 26.368 26.365 26.294 26.285 26.327 26.38 26.363 26.391 26.381 26.378 26.371 26.372 26.35 26.356 26.369 26.357 26.401 26.42 26.403 26.426 26.411 26.424 26.406 26.411 26.26 26.394 26.402 26.398 26.332 26.304 26.418 26.419 26.36 26.365 26.339 26.394 26.375 26.393 26.334 26.349 26.302 26.391 26.413 26.398 26.372 26.264 26.319 26.362 26.405 26.468 26.332 26.332 26.263 26.383 26.287 26.377 26.328 26.267 26.244 26.24 26.241 26.222 26.222 26.255 26.383 26.275 26.308 26.297 26.31 26.279 26.271 26.334 26.325 26.318 26.34 26.365 26.348 26.344 26.274 26.349 26.406 26.366 26.361 26.384 26.378 26.316 26.356 26.272 26.37 26.375 26.332 26.269 26.268 26.282 26.289 26.287 26.287 26.251 26.307 26.319 26.3 26.372 26.381 26.322 26.327 26.328 26.277 26.4 26.323 26.329 26.142 26.281 26.349 26.349 26.358 26.271 26.382 26.396 26.326 26.311 26.329 26.349 26.323 26.375 26.38 26.351 26.386 26.396 26.389 26.387 26.403 26.398 26.385 26.428 26.398 26.38 26.428 26.448 26.444 26.435 26.421 26.406 26.38 26.404 26.42 26.421 26.423 26.416 26.368 26.462 26.435 26.439 26.407 26.428 26.434 26.403 26.45 26.43 26.386 26.428 26.501 26.42 26.418 26.43 26.398 26.373 26.333 26.37 26.351 26.261 26.095 26.364 26.252 26.355 26.26 26.217 26.295 26.335 26.389 26.429 26.429 26.469 26.471 26.416 26.414 26.431 26.415 26.407 26.402 26.348 26.439 26.474 26.473 26.447 26.356
240 26.383 26.376 26.398 26.351 26.214 26.25 26.362 26.399 NA 26.349 26.363 26.284 26.35 26.365 26.332 26.31 NA 26.322 26.385 26.344 26.366 26.35 26.355 26.329 26.339 26.345 26.303 26.232 26.327 26.226 26.421 26.348 26.388 26.377 26.391 26.389 26.391 26.366 26.355 26.357 26.348 26.348 26.347 26.411 26.409 26.337 26.377 26.377 26.373 26.376 26.425 26.37 26.325 26.376 26.382 26.354 26.379 26.376 26.37 26.372 26.441 26.404 26.416 26.36 26.131 26.333 26.378 26.362 26.388 26.391 26.349 26.371 26.393 26.376 26.372 26.304 26.293 26.335 26.381 26.369 26.392 26.386 26.382 26.373 26.375 26.359 26.369 26.38 26.361 26.406 26.423 26.407 26.431 26.417 26.428 26.41 26.415 26.296 26.4 26.409 26.405 26.349 26.316 26.423 26.425 26.373 26.375 26.353 26.403 26.381 26.402 26.349 26.384 26.342 26.406 26.421 26.407 26.386 26.284 26.337 26.372 26.416 26.473 26.347 26.35 26.296 26.395 26.297 26.386 26.351 26.277 26.258 26.248 26.254 26.236 26.236 26.259 26.389 26.28 26.314 26.31 26.314 26.288 26.28 26.341 26.333 26.326 26.351 26.368 26.359 26.352 26.288 26.356 26.414 26.376 26.37 26.395 26.388 26.329 26.37 26.285 26.376 26.385 26.342 26.284 26.278 26.296 26.302 26.298 26.302 26.271 26.331 26.33 26.311 26.386 26.397 26.33 26.333 26.338 26.29 26.407 26.339 26.34 26.155 26.288 26.357 26.357 26.365 26.289 26.395 26.406 26.336 26.322 26.338 26.363 26.338 26.38 26.386 26.358 26.395 26.406 26.397 26.394 26.41 26.406 26.395 26.436 26.406 26.392 26.433 26.454 26.448 26.439 26.427 26.414 26.392 26.415 26.429 26.429 26.429 26.419 26.378 26.466 26.441 26.446 26.417 26.435 26.443 26.414 26.457 26.439 26.401 26.435 26.515 26.426 26.427 26.437 26.407 26.385 26.356 26.385 26.365 26.29 26.106 26.375 26.26 26.368 26.277 26.235 26.309 26.352 26.389 26.433 26.433 26.475 26.476 26.424 26.419 26.439 26.427 26.415 26.415 26.36 26.444 26.475 26.478 26.453 26.366
