Depth 1988-10-21 1988-11-24 1988-12-18 1989-01-27 1989-02-18 1989-03-27 1989-04-16 1989-05-16 1989-06-21 1989-07-19 1989-08-15 1989-10-20 1989-11-28 1989-12-20 1990-01-16 1990-02-15 1990-03-15 1990-04-19 1990-05-09 1990-06-22 1990-07-17 1990-08-14 1990-09-11 1990-10-15 1990-11-06 1990-12-04 1991-01-15 1991-02-14 1991-03-14 1991-04-16 1991-05-14 1991-06-19 1991-07-17 1991-08-13 1991-09-14 1991-10-08 1991-11-13 1991-12-10 1992-01-10 1992-02-14 1992-03-09 1992-04-21 1992-05-19 1992-06-17 1992-07-13 1992-08-20 1992-09-15 1992-10-15 1992-11-13 1992-12-09 1993-01-13 1993-02-12 1993-03-12 1993-04-16 1993-05-10 1993-06-14 1993-07-13 1993-08-18 1993-09-17 1993-10-12 1993-11-09 1993-12-07 1994-01-12 1994-02-19 1994-03-15 1994-04-19 1994-05-17 1994-06-14 1994-07-19 1994-08-16 1994-09-21 1994-10-19 1994-11-14 1994-12-10 1995-01-13 1995-02-15 1995-03-17 1995-04-12 1995-05-12 1995-06-14 1995-07-11 1995-08-18 1995-09-14 1995-10-11 1995-11-12 1995-12-15 1996-01-31 1996-02-15 1996-03-15 1996-04-09 1996-05-06 1996-06-10 1996-07-11 1996-08-05 1996-09-06 1996-10-09 1996-11-05 1996-12-14 1997-01-15 1997-02-08 1997-03-07 1997-04-09 1997-05-08 1997-06-12 1997-07-17 1997-08-13 1997-09-13 1997-10-09 1997-11-13 1997-12-10 1998-01-15 1998-02-13 1998-03-13 1998-04-08 1998-05-07 1998-06-03 1998-07-08 1998-08-12 1998-09-11 1998-10-23 1998-11-18 1998-12-11 1999-01-16 1999-02-12 1999-03-24 1999-04-08 1999-05-05 1999-06-02 1999-07-09 1999-08-04 1999-09-16 1999-10-13 1999-11-10 1999-12-10 2000-02-01 2000-02-18 2000-03-14 2000-04-10 2000-05-10 2000-06-06 2000-07-11 2000-08-08 2000-09-11 2000-10-18 2000-11-14 2000-12-13 2001-01-31 2001-02-21 2001-03-21 2001-04-21 2001-05-18 2001-06-05 2001-07-19 2001-08-07 2001-09-12 2001-10-10 2001-11-10 2001-12-12 2002-02-28 2002-03-20 2002-04-20 2002-05-15 2002-06-06 2002-07-03 2002-08-21 2002-09-18 2002-10-08 2002-11-14 2002-12-11 2003-02-05 2003-02-22 2003-03-22 2003-04-22 2003-05-20 2003-07-05 2003-07-16 2003-08-12 2003-09-20 2003-10-07 2003-11-04 2003-12-03 2004-01-27 2004-02-24 2004-03-22 2004-04-20 2004-05-17 2004-06-15 2004-07-14 2004-08-16 2004-09-15 2004-10-14 2004-11-12 2004-12-09 2005-01-28 2005-02-05 2005-03-22 2005-04-19 2005-05-18 2005-06-14 2005-07-22 2005-08-10 2005-09-06 2005-10-11 2005-11-27 2005-12-11 2006-01-29 2006-02-22 2006-04-06 2006-05-09 2006-06-27 2006-07-19 2006-08-10 2006-09-07 2006-10-10 2006-11-06 2006-12-05 2007-02-01 2007-02-22 2007-03-21 2007-04-15 2007-05-17 2007-06-21 2007-07-21 2007-08-13 2007-09-06 2007-10-05 2007-11-13 2007-12-06 2008-01-15 2008-02-13 2008-03-13 2008-04-15 2008-05-30 2008-06-23 2008-07-17 2008-08-11 2008-09-12 2008-10-08 2008-11-09 2008-12-17 2009-02-09 2009-03-19 2009-04-16 2009-05-17 2009-06-13 2009-08-17 2009-09-11 2009-10-09 2009-11-07 2009-12-09 2010-02-03 2010-02-25 2010-03-24 2010-04-21 2010-05-16 2010-06-22 2010-07-26 2010-08-22 2010-09-05 2010-10-08 2010-11-11 2010-12-10 2011-02-24 2011-03-26 2011-05-04 2011-05-19 2011-06-16 mean
150 36.63 36.561 36.579 36.602 36.612 36.603 36.602 36.569 NA 36.581 36.592 36.618 36.547 36.56 36.602 36.689 NA 36.613 36.58 36.598 36.627 36.615 36.636 36.633 36.624 36.635 36.649 36.703 36.642 36.649 36.6 36.639 36.596 36.613 36.606 36.605 36.59 36.632 36.65 36.67 36.699 36.657 36.663 36.63 36.618 36.702 36.607 36.621 36.621 36.631 36.592 36.617 36.628 36.635 36.597 36.604 36.619 36.64 36.611 36.612 36.582 36.634 36.587 36.563 36.569 36.597 36.598 36.587 36.579 36.585 36.602 36.599 36.585 36.603 36.598 36.615 36.617 36.62 36.574 36.63 36.553 36.597 36.604 36.594 36.601 36.625 36.658 36.633 36.665 36.584 36.578 36.614 36.589 36.599 36.592 36.599 36.579 36.632 36.687 36.634 36.645 36.872 36.783 36.612 36.608 36.753 36.71 36.71 36.659 36.646 36.674 36.581 36.547 36.59 36.57 36.592 36.574 36.574 36.651 36.596 36.629 36.649 36.493 36.667 36.66 36.624 36.63 36.588 36.617 36.623 36.606 36.628 36.62 36.626 36.687 36.68 36.637 36.615 36.638 36.635 36.642 36.649 36.648 36.658 36.592 36.621 36.606 36.631 36.594 36.604 36.707 36.703 36.642 36.622 36.649 36.642 36.614 36.645 36.637 36.67 36.648 36.603 36.598 36.622 36.65 36.663 36.653 36.659 36.692 36.711 36.655 36.622 36.614 36.62 36.589 36.593 36.612 36.625 36.625 36.654 36.629 36.669 36.705 36.678 36.672 36.629 36.627 36.64 36.688 36.605 36.617 36.643 36.667 36.818 36.753 36.719 36.628 36.675 36.693 36.697 36.675 36.668 36.668 36.647 36.652 36.646 36.625 36.623 36.67 36.621 36.608 36.608 36.615 36.638 36.658 36.664 36.628 36.671 36.67 36.646 36.632 36.651 36.613 36.629 36.659 36.674 36.642 36.632 36.626 36.601 36.627 36.65 36.608 36.654 36.606 36.618 36.615 36.621 36.653 36.652 36.638 36.656 36.686 36.746 36.631 36.643 36.627 36.66 36.672 36.647 36.627 36.61 36.607 36.622 36.6 36.601 36.643 36.629 36.609 36.656 36.656 36.649 36.664 36.648 36.607 36.623 36.636 36.632
160 36.627 36.546 36.57 36.59 36.612 36.608 36.592 36.564 NA 36.576 36.591 36.615 36.541 36.551 36.579 36.676 NA 36.61 36.575 36.595 36.622 36.595 36.624 36.626 36.616 36.626 36.634 36.677 36.645 36.648 36.598 36.635 36.592 36.607 36.603 36.599 36.584 36.626 36.639 36.689 36.696 36.65 36.663 36.622 36.609 36.688 36.596 36.619 36.618 36.629 36.583 36.617 36.625 36.63 36.597 36.601 36.616 36.629 36.608 36.61 36.575 36.62 36.584 36.579 36.569 36.596 36.597 36.585 36.577 36.582 36.599 36.592 36.584 36.598 36.591 36.614 36.618 36.614 36.567 36.624 36.552 36.593 36.6 36.598 36.599 36.617 36.663 36.612 36.665 36.583 36.575 36.607 36.58 36.596 36.583 36.596 36.575 36.633 36.675 36.621 36.636 36.872 36.775 36.603 36.599 36.726 36.702 36.702 36.645 36.639 36.651 36.595 36.546 36.585 36.567 36.591 36.571 36.579 36.642 36.594 36.612 36.624 36.498 36.64 36.658 36.623 36.622 36.579 36.595 36.619 36.606 36.616 36.613 36.62 36.665 36.681 36.637 36.599 36.635 36.629 36.635 36.646 36.628 36.649 36.586 36.615 36.599 36.629 36.585 36.6 36.69 36.688 36.638 36.616 36.639 36.637 36.612 36.635 36.636 36.668 36.643 36.603 36.597 36.616 36.632 36.651 36.651 36.647 36.675 36.687 36.653 36.618 36.612 36.626 36.59 36.589 36.612 36.62 36.618 36.64 36.62 36.662 36.697 36.678 36.669 36.624 36.623 36.635 36.679 36.601 36.613 36.636 36.656 36.735 36.742 36.716 36.635 36.67 36.69 36.66 36.666 36.66 36.66 36.643 36.645 36.65 36.622 36.617 36.661 36.617 36.6 36.606 36.611 36.63 36.647 36.652 36.639 36.643 36.657 36.634 36.625 36.647 36.613 36.623 36.652 36.664 36.633 36.617 36.632 36.594 36.623 36.645 36.601 36.647 36.599 36.616 36.607 36.61 36.643 36.649 36.613 36.65 36.669 36.743 36.626 36.641 36.625 36.657 36.662 36.642 36.627 36.61 36.605 36.619 36.6 36.598 36.635 36.623 36.602 36.646 36.647 36.641 36.664 36.644 36.605 36.622 36.63 36.625
170 36.611 36.54 36.566 36.58 36.612 36.605 36.585 36.559 NA 36.568 36.591 36.607 36.536 36.546 36.558 36.616 NA 36.598 36.566 36.593 36.62 36.584 36.61 36.617 36.609 36.618 36.625 36.676 36.643 36.647 36.599 36.628 36.592 36.601 36.599 36.594 36.579 36.619 36.628 36.698 36.69 36.641 36.663 36.615 36.605 36.663 36.592 36.614 36.619 36.626 36.578 36.621 36.623 36.62 36.594 36.598 36.603 36.63 36.608 36.608 36.573 36.614 36.578 36.602 36.569 36.595 36.594 36.589 36.577 36.58 36.598 36.59 36.585 36.594 36.584 36.614 36.617 36.609 36.566 36.619 36.552 36.588 36.596 36.595 36.596 36.613 36.663 36.596 36.662 36.578 36.575 36.595 36.578 36.59 36.578 36.59 36.571 36.66 36.667 36.61 36.611 36.871 36.764 36.596 36.588 36.707 36.686 36.694 36.641 36.638 36.628 36.59 36.546 36.587 36.581 36.589 36.566 36.576 36.636 36.593 36.6 36.615 36.502 36.625 36.655 36.622 36.615 36.561 36.595 36.616 36.601 36.612 36.605 36.613 36.656 36.675 36.636 36.601 36.635 36.626 36.63 36.64 36.622 36.639 36.579 36.609 36.591 36.62 36.583 36.597 36.683 36.672 36.634 36.611 36.636 36.633 36.599 36.627 36.636 36.664 36.642 36.6 36.593 36.612 36.622 36.653 36.652 36.639 36.663 36.672 36.647 36.616 36.609 36.618 36.59 36.588 36.608 36.615 36.613 36.637 36.614 36.656 36.686 36.676 36.666 36.622 36.618 36.635 36.672 36.596 36.607 36.632 36.653 36.645 36.727 36.713 36.634 36.676 36.68 36.649 36.658 36.653 36.653 36.64 36.637 36.648 36.615 36.618 36.656 36.613 36.593 36.604 36.608 36.624 36.637 36.647 36.634 36.634 36.612 36.621 36.621 36.642 36.611 36.616 36.64 36.656 36.623 36.613 36.634 36.59 36.618 36.641 36.598 36.633 36.592 36.612 36.603 36.606 36.638 36.64 36.604 36.648 36.67 36.74 36.622 36.638 36.62 36.652 36.655 36.634 36.627 36.61 36.604 36.613 36.594 36.595 36.628 36.618 36.603 36.629 36.637 36.63 36.664 36.639 36.605 36.615 36.625 36.62
180 36.597 36.537 36.562 36.57 36.612 36.605 36.58 36.552 NA 36.56 36.589 36.603 36.531 36.541 36.549 36.601 NA 36.595 36.559 36.591 36.618 36.572 36.601 36.61 36.604 36.613 36.619 36.669 36.634 36.643 36.603 36.624 36.586 36.593 36.596 36.59 36.573 36.611 36.621 36.705 36.686 36.629 36.661 36.607 36.598 36.655 36.591 36.608 36.615 36.62 36.575 36.616 36.619 36.615 36.588 36.594 36.589 36.627 36.605 36.605 36.567 36.605 36.575 36.613 36.569 36.596 36.589 36.587 36.577 36.578 36.596 36.587 36.579 36.586 36.579 36.614 36.617 36.606 36.566 36.611 36.552 36.581 36.59 36.59 36.589 36.604 36.663 36.583 36.658 36.574 36.574 36.589 36.574 36.583 36.574 36.584 36.569 36.669 36.66 36.6 36.6 36.867 36.757 36.591 36.584 36.686 36.676 36.685 36.625 36.63 36.621 36.587 36.543 36.589 36.582 36.589 36.568 36.583 36.624 36.585 36.603 36.602 36.503 36.63 36.648 36.611 36.607 36.554 36.59 36.609 36.592 36.61 36.602 36.608 36.637 36.659 36.63 36.597 36.633 36.617 36.627 36.637 36.617 36.63 36.572 36.607 36.578 36.617 36.574 36.594 36.677 36.661 36.637 36.606 36.627 36.628 36.593 36.62 36.626 36.663 36.637 36.598 36.592 36.61 36.608 36.637 36.654 36.628 36.653 36.652 36.643 36.614 36.607 36.614 36.588 36.589 36.604 36.611 36.608 36.632 36.609 36.646 36.667 36.676 36.661 36.617 36.615 36.624 36.659 36.591 36.596 36.626 36.646 36.631 36.718 36.713 36.63 36.672 36.671 36.656 36.641 36.644 36.645 36.633 36.626 36.641 36.605 36.621 36.647 36.609 36.586 36.602 36.606 36.62 36.628 36.638 36.626 36.603 36.595 36.61 36.619 36.64 36.609 36.61 36.633 36.651 36.616 36.605 36.622 36.588 36.608 36.637 36.596 36.607 36.583 36.606 36.601 36.597 36.631 36.638 36.609 36.638 36.668 36.738 36.617 36.636 36.616 36.646 36.647 36.635 36.626 36.61 36.603 36.61 36.591 36.589 36.623 36.614 36.593 36.618 36.629 36.624 36.664 36.635 36.603 36.612 36.616 36.614
190 36.588 36.534 36.561 36.567 36.611 36.603 36.573 36.546 NA 36.552 36.587 36.599 36.526 36.536 36.546 36.58 NA 36.593 36.552 36.591 36.615 36.562 36.592 36.604 36.598 36.605 36.613 36.649 36.63 36.642 36.601 36.619 36.583 36.587 36.594 36.588 36.564 36.605 36.615 36.702 36.68 36.624 36.66 36.603 36.594 36.645 36.593 36.606 36.612 36.618 36.57 36.607 36.616 36.606 36.582 36.592 36.584 36.62 36.604 36.601 36.562 36.597 36.568 36.606 36.569 36.595 36.587 36.586 36.575 36.577 36.593 36.583 36.578 36.583 36.577 36.611 36.617 36.595 36.566 36.603 36.552 36.576 36.586 36.588 36.587 36.597 36.662 36.58 36.654 36.57 36.569 36.586 36.568 36.58 36.567 36.577 36.566 36.674 36.661 36.588 36.589 36.784 36.742 36.589 36.586 36.664 36.666 36.677 36.612 36.622 36.623 36.584 36.545 36.591 36.587 36.58 36.566 36.581 36.611 36.584 36.593 36.586 36.5 36.609 36.637 36.608 36.596 36.554 36.613 36.606 36.58 36.604 36.597 36.6 36.616 36.648 36.63 36.588 36.633 36.61 36.624 36.638 36.619 36.623 36.566 36.606 36.572 36.615 36.569 36.592 36.656 36.649 36.628 36.598 36.62 36.623 36.586 36.614 36.627 36.654 36.634 36.598 36.592 36.607 36.6 36.626 36.652 36.627 36.644 36.64 36.637 36.617 36.604 36.613 36.584 36.588 36.602 36.608 36.604 36.628 36.605 36.635 36.655 36.674 36.654 36.613 36.613 36.614 36.653 36.586 36.589 36.623 36.643 36.623 36.712 36.712 36.628 36.67 36.673 36.647 36.64 36.638 36.64 36.627 36.615 36.635 36.599 36.618 36.641 36.606 36.579 36.601 36.603 36.614 36.62 36.63 36.616 36.597 36.585 36.601 36.617 36.638 36.605 36.604 36.626 36.646 36.613 36.598 36.613 36.583 36.602 36.632 36.594 36.583 36.576 36.603 36.599 36.59 36.626 36.635 36.604 36.628 36.653 36.73 36.612 36.636 36.606 36.639 36.641 36.63 36.625 36.61 36.603 36.604 36.587 36.587 36.616 36.608 36.585 36.605 36.623 36.618 36.662 36.632 36.594 36.607 36.608 36.609
200 36.585 36.555 36.559 36.558 36.607 36.596 36.563 36.543 NA 36.546 36.585 36.596 36.522 36.529 36.541 36.558 NA 36.586 36.55 36.588 36.608 36.554 36.585 36.601 36.593 36.599 36.612 36.647 36.62 36.64 36.6 36.614 36.583 36.586 36.591 36.585 36.563 36.596 36.609 36.692 36.683 36.624 36.658 36.596 36.582 36.64 36.59 36.603 36.619 36.615 36.567 36.603 36.614 36.604 36.581 36.589 36.588 36.605 36.602 36.602 36.576 36.588 36.562 36.6 36.571 36.592 36.582 36.581 36.573 36.576 36.587 36.582 36.574 36.579 36.579 36.613 36.613 36.598 36.56 36.596 36.551 36.581 36.581 36.584 36.583 36.594 36.659 36.589 36.641 36.567 36.561 36.584 36.564 36.575 36.562 36.576 36.567 36.662 36.601 36.578 36.579 36.66 36.716 36.59 36.583 36.653 36.635 36.67 36.599 36.619 36.619 36.599 36.563 36.573 36.587 36.575 36.573 36.576 36.606 36.587 36.581 36.569 36.495 36.607 36.614 36.617 36.581 36.568 36.591 36.582 36.58 36.594 36.594 36.595 36.6 36.621 36.623 36.579 36.633 36.615 36.626 36.634 36.613 36.617 36.576 36.602 36.593 36.601 36.595 36.599 36.623 36.647 36.636 36.593 36.622 36.623 36.587 36.608 36.61 36.626 36.632 36.594 36.588 36.607 36.618 36.627 36.637 36.629 36.633 36.631 36.634 36.615 36.6 36.613 36.582 36.58 36.6 36.602 36.601 36.625 36.587 36.615 36.642 36.675 36.649 36.608 36.609 36.606 36.651 36.584 36.586 36.615 36.632 36.614 36.656 36.675 36.641 36.65 36.662 36.634 36.633 36.633 36.638 36.621 36.613 36.632 36.598 36.619 36.638 36.602 36.577 36.596 36.6 36.61 36.615 36.624 36.609 36.594 36.585 36.601 36.614 36.634 36.602 36.601 36.625 36.639 36.607 36.595 36.612 36.584 36.598 36.625 36.591 36.556 36.58 36.599 36.59 36.589 36.618 36.636 36.587 36.617 36.647 36.728 36.603 36.635 36.598 36.635 36.636 36.624 36.616 36.609 36.601 36.599 36.576 36.585 36.609 36.609 36.589 36.599 36.615 36.605 36.66 36.627 36.597 36.603 36.609 36.603
210 36.58 36.577 36.546 36.554 36.603 36.593 36.555 36.543 NA 36.537 36.578 36.593 36.518 36.519 36.533 36.546 NA 36.584 36.546 36.585 36.604 36.548 36.577 36.592 36.583 36.587 36.607 36.655 36.617 36.637 36.595 36.606 36.587 36.584 36.59 36.584 36.558 36.592 36.603 36.685 36.679 36.62 36.657 36.588 36.569 36.627 36.587 36.6 36.617 36.612 36.554 36.603 36.612 36.595 36.576 36.587 36.583 36.591 36.603 36.603 36.585 36.582 36.557 36.595 36.575 36.589 36.58 36.58 36.571 36.575 36.581 36.583 36.572 36.577 36.577 36.606 36.608 36.599 36.556 36.591 36.551 36.575 36.572 36.581 36.578 36.59 36.622 36.592 36.614 36.564 36.553 36.582 36.566 36.57 36.558 36.574 36.566 36.645 36.572 36.571 36.571 36.632 36.697 36.59 36.585 36.642 36.638 36.654 36.59 36.618 36.594 36.648 36.56 36.56 36.581 36.576 36.573 36.578 36.603 36.589 36.567 36.55 36.487 36.609 36.587 36.62 36.561 36.575 36.573 36.574 36.581 36.584 36.594 36.588 36.592 36.598 36.621 36.567 36.631 36.615 36.642 36.631 36.604 36.615 36.588 36.598 36.599 36.584 36.617 36.609 36.616 36.645 36.637 36.588 36.619 36.62 36.592 36.601 36.601 36.605 36.63 36.588 36.588 36.606 36.62 36.627 36.625 36.624 36.624 36.625 36.631 36.614 36.598 36.616 36.579 36.568 36.598 36.596 36.597 36.621 36.552 36.606 36.622 36.674 36.648 36.605 36.605 36.601 36.645 36.583 36.58 36.609 36.625 36.605 36.607 36.639 36.643 36.637 36.657 36.629 36.625 36.632 36.633 36.614 36.611 36.627 36.597 36.615 36.639 36.603 36.574 36.59 36.599 36.609 36.608 36.617 36.603 36.592 36.577 36.603 36.612 36.626 36.599 36.6 36.621 36.633 36.601 36.59 36.606 36.584 36.593 36.61 36.588 36.535 36.582 36.595 36.588 36.59 36.611 36.628 36.58 36.609 36.646 36.727 36.594 36.633 36.586 36.634 36.633 36.619 36.6 36.608 36.595 36.582 36.571 36.581 36.602 36.608 36.586 36.602 36.607 36.599 36.66 36.624 36.605 36.598 36.615 36.598
220 36.577 36.578 36.538 36.548 36.602 36.587 36.547 36.534 NA 36.533 36.573 36.588 36.517 36.51 36.527 36.534 NA 36.582 36.543 36.582 36.602 36.541 36.571 36.586 36.579 36.581 36.603 36.654 36.605 36.636 36.593 36.602 36.587 36.579 36.589 36.586 36.558 36.587 36.597 36.663 36.667 36.615 36.656 36.582 36.57 36.62 36.585 36.594 36.615 36.608 36.551 36.596 36.603 36.595 36.571 36.587 36.579 36.586 36.604 36.602 36.581 36.576 36.554 36.592 36.575 36.59 36.579 36.581 36.568 36.574 36.578 36.579 36.57 36.575 36.574 36.598 36.606 36.599 36.556 36.583 36.551 36.57 36.572 36.58 36.577 36.587 36.581 36.585 36.594 36.559 36.555 36.58 36.564 36.566 36.554 36.568 36.565 36.637 36.565 36.564 36.566 36.611 36.667 36.588 36.577 36.627 36.629 36.643 36.584 36.61 36.585 36.632 36.566 36.581 36.581 36.571 36.57 36.572 36.603 36.583 36.556 36.553 36.486 36.595 36.571 36.611 36.558 36.573 36.569 36.568 36.575 36.581 36.589 36.587 36.586 36.596 36.619 36.565 36.623 36.612 36.641 36.631 36.599 36.613 36.586 36.59 36.596 36.581 36.615 36.606 36.612 36.636 36.633 36.582 36.609 36.613 36.586 36.597 36.598 36.599 36.627 36.586 36.581 36.601 36.614 36.623 36.622 36.619 36.621 36.621 36.628 36.611 36.597 36.61 36.573 36.558 36.597 36.594 36.592 36.617 36.546 36.6 36.614 36.668 36.643 36.598 36.599 36.597 36.635 36.578 36.571 36.604 36.619 36.6 36.6 36.632 36.637 36.634 36.654 36.624 36.62 36.63 36.629 36.607 36.609 36.621 36.595 36.614 36.628 36.601 36.571 36.588 36.596 36.607 36.606 36.61 36.597 36.59 36.575 36.599 36.612 36.624 36.598 36.597 36.618 36.629 36.596 36.591 36.6 36.579 36.587 36.603 36.589 36.506 36.58 36.595 36.585 36.581 36.605 36.623 36.58 36.598 36.642 36.718 36.591 36.631 36.578 36.63 36.631 36.615 36.586 36.608 36.592 36.579 36.566 36.575 36.596 36.605 36.582 36.596 36.603 36.592 36.656 36.619 36.606 36.595 36.611 36.594
230 36.573 36.575 36.526 36.543 36.601 36.582 36.541 36.525 NA 36.528 36.569 36.584 36.512 36.504 36.52 36.532 NA 36.579 36.539 36.58 36.6 36.533 36.563 36.578 36.576 36.575 36.599 36.634 36.594 36.631 36.584 36.599 36.589 36.576 36.593 36.586 36.559 36.584 36.594 36.609 36.647 36.613 36.657 36.575 36.563 36.614 36.581 36.59 36.613 36.604 36.548 36.593 36.599 36.592 36.566 36.586 36.574 36.581 36.604 36.601 36.579 36.569 36.548 36.588 36.575 36.584 36.577 36.583 36.566 36.569 36.576 36.576 36.568 36.571 36.573 36.592 36.599 36.597 36.557 36.575 36.55 36.568 36.572 36.58 36.576 36.581 36.571 36.576 36.583 36.554 36.555 36.578 36.562 36.564 36.552 36.568 36.563 36.63 36.558 36.559 36.559 36.6 36.65 36.586 36.572 36.611 36.606 36.632 36.579 36.605 36.58 36.627 36.575 36.595 36.578 36.568 36.566 36.573 36.602 36.571 36.555 36.542 36.484 36.587 36.563 36.594 36.556 36.569 36.562 36.568 36.572 36.578 36.584 36.584 36.58 36.594 36.618 36.557 36.619 36.608 36.632 36.629 36.594 36.611 36.583 36.588 36.591 36.575 36.612 36.599 36.605 36.625 36.629 36.578 36.607 36.605 36.581 36.59 36.589 36.593 36.622 36.584 36.577 36.601 36.606 36.622 36.62 36.615 36.621 36.617 36.623 36.606 36.597 36.606 36.566 36.547 36.597 36.592 36.591 36.612 36.542 36.596 36.608 36.666 36.638 36.588 36.593 36.597 36.628 36.57 36.564 36.598 36.613 36.595 36.595 36.624 36.635 36.631 36.652 36.619 36.615 36.626 36.625 36.604 36.607 36.615 36.591 36.611 36.626 36.597 36.56 36.585 36.594 36.604 36.607 36.605 36.589 36.588 36.574 36.596 36.609 36.624 36.597 36.595 36.614 36.626 36.591 36.589 36.592 36.574 36.583 36.598 36.585 36.493 36.577 36.594 36.583 36.58 36.598 36.613 36.581 36.591 36.632 36.706 36.584 36.63 36.572 36.622 36.629 36.61 36.579 36.608 36.589 36.572 36.561 36.569 36.591 36.602 36.573 36.591 36.6 36.586 36.648 36.617 36.603 36.591 36.603 36.589
240 36.569 36.574 36.516 36.54 36.598 36.573 36.536 36.52 NA 36.522 36.564 36.58 36.51 36.499 36.512 36.531 NA 36.579 36.535 36.576 36.597 36.525 36.561 36.574 36.573 36.569 36.593 36.619 36.586 36.628 36.562 36.594 36.59 36.572 36.591 36.584 36.561 36.582 36.591 36.583 36.621 36.613 36.659 36.568 36.562 36.607 36.577 36.583 36.608 36.6 36.545 36.587 36.597 36.586 36.565 36.584 36.571 36.581 36.601 36.599 36.575 36.562 36.544 36.584 36.575 36.586 36.572 36.588 36.564 36.567 36.575 36.573 36.564 36.57 36.57 36.59 36.597 36.595 36.557 36.566 36.55 36.57 36.572 36.58 36.575 36.579 36.567 36.567 36.579 36.55 36.552 36.571 36.562 36.559 36.547 36.565 36.562 36.619 36.555 36.555 36.555 36.589 36.647 36.581 36.568 36.6 36.595 36.621 36.575 36.601 36.575 36.609 36.577 36.599 36.572 36.563 36.562 36.57 36.594 36.562 36.548 36.537 36.483 36.578 36.555 36.581 36.553 36.567 36.556 36.567 36.572 36.577 36.583 36.586 36.575 36.593 36.629 36.552 36.613 36.606 36.642 36.627 36.59 36.607 36.578 36.583 36.586 36.573 36.607 36.592 36.601 36.619 36.625 36.573 36.601 36.599 36.576 36.583 36.584 36.586 36.619 36.582 36.574 36.596 36.602 36.621 36.615 36.611 36.615 36.609 36.616 36.597 36.594 36.603 36.557 36.538 36.593 36.589 36.587 36.607 36.539 36.588 36.603 36.662 36.63 36.586 36.587 36.593 36.622 36.563 36.562 36.591 36.608 36.59 36.588 36.609 36.633 36.627 36.644 36.614 36.61 36.621 36.618 36.6 36.605 36.611 36.585 36.604 36.614 36.593 36.557 36.581 36.592 36.604 36.606 36.6 36.587 36.586 36.573 36.595 36.608 36.621 36.597 36.593 36.611 36.622 36.588 36.585 36.582 36.571 36.579 36.593 36.58 36.483 36.576 36.59 36.581 36.577 36.595 36.603 36.579 36.588 36.622 36.692 36.578 36.629 36.568 36.618 36.626 36.606 36.572 36.608 36.588 36.567 36.556 36.565 36.586 36.6 36.568 36.586 36.596 36.581 36.639 36.614 36.597 36.588 36.602 36.585
