ba.init	qfrac.init	opte
251200	1	0
502400	2	0
753600	3	0
1004800	4	0
1256000	5	0
1507200	6	0
1758400	7	0
2009600	8	0
2260800	9	0
2512000	10	0
2763190.47619048	11	0
3014404.76190476	12	0
3265595.23809524	13	0
3516809.52380952	14	0
3768000	15	0
4019190.47619048	16	0
4270404.76190476	17	0
4521595.23809524	18	0
4772809.52380952	19	0
5024000	20	0
5275190.47619048	21	0
5526404.76190476	22	0
5777595.23809524	23	0
6028809.52380952	24	0
6280000	25	0
6531190.47619048	26	0
6782404.76190476	27	0
7033595.23809524	28	0
7284809.52380952	29	0
7536000	30	0
7787190.47619048	31	0
8038404.76190476	32	0
8289595.23809524	33	0
8540809.52380952	34	0
8792000	35	0
9043190.47619048	36	0.01
9294404.76190476	37	0.01
9545595.23809524	38	0.01
9796809.52380952	39	0.01
10048000	40	0.01
10299190.4761905	41	0.01
10550404.7619048	42	0.01
10801595.2380952	43	0.01
11052809.5238095	44	0.01
11304000	45	0.01
11555214.2857143	46	0.01
11806404.7619048	47	0.01
12057595.2380952	48	0.02
12308809.5238095	49	0.02
12560000	50	0.02
12811190.4761905	51	0.02
13062404.7619048	52	0.02
13313595.2380952	53	0.02
13564809.5238095	54	0.02
13816000	55	0.02
14067214.2857143	56	0.02
14318404.7619048	57	0.02
14569595.2380952	58	0.02
14820809.5238095	59	0.02
15072000	60	0.02
15323214.2857143	61	0.02
15574404.7619048	62	0.02
15825595.2380952	63	0.02
16076809.5238095	64	0.02
16328000	65	0.02
16579214.2857143	66	0.02
16830404.7619048	67	0.02
17081595.2380952	68	0.02
17332809.5238095	69	0.02
17584000	70	0.02
17835214.2857143	71	0.02
18086404.7619048	72	0.02
18337595.2380952	73	0.02
18588809.5238095	74	0.02
18840000	75	0.02
19091214.2857143	76	0.02
19342404.7619048	77	0.02
19593595.2380952	78	0.02
19844809.5238095	79	0.02
20096000	80	0.02
20347214.2857143	81	0.02
20598404.7619048	82	0.02
20849595.2380952	83	0.02
21100809.5238095	84	0.02
21352000	85	0.02
21603214.2857143	86	0.02
21854404.7619048	87	0.02
22105595.2380952	88	0.02
22356809.5238095	89	0.02
22608000	90	0.02
22859214.2857143	91	0.02
23110404.7619048	92	0.02
23361595.2380952	93	0.02
23612809.5238095	94	0.02
23864047.6190476	95	0.02
24115238.0952381	96	0.02
24366428.5714286	97	0.02
24617619.0476191	98	0.02
24868809.5238095	99	0.02
25120000	100	0.02
25371190.4761905	101	0.02
25622380.952381	102	0.02
25873571.4285714	103	0.02
26124761.9047619	104	0.02
26375952.3809524	105	0.02
26627142.8571429	106	0.02
26878333.3333333	107	0.03
27129523.8095238	108	0.03
27380714.2857143	109	0.03
27631904.7619048	110	0.03
